dt,BTC-USDT,ETH-USDT,DOT-USDT,OKB-USDT,XRP-USDT,SOL-USDT,TRX-USDT,LTC-USDT,TON-USDT
2020-01-01 19:00:00,7131.9,129.56,,,0.1905,,0.01312,41.17,
2020-01-02 19:00:00,7319.7,132.47,,,0.19203,,0.01337,41.76,
2020-01-03 19:00:00,7318.9,133.29,,,0.19249,,0.01335,42.28,
2020-01-04 19:00:00,7467.4,137.24,,,0.19628,,0.01377,44.01,
2020-01-05 19:00:00,7520.9,140.18,,,0.21275,,0.01405,44.06,
2020-01-06 19:00:00,7763.6,139.55,,,0.20815,,0.01412,44.94,
2020-01-07 19:00:00,8310.2,141.42,,,0.21255,,0.01435,46.77,
2020-01-08 19:00:00,7903.5,138.15,,,0.2043,,0.01394,45.16,
2020-01-09 19:00:00,8064.9,142.56,,,0.20847,,0.01434,48.71,
2020-01-10 19:00:00,8099.5,143.43,,,0.21118,,0.01473,50.5,
2020-01-11 19:00:00,8154.2,144.97,,,0.21538,,0.01498,50.81,
2020-01-12 19:00:00,8083.1,142.75,,,0.21029,,0.01456,49.31,
2020-01-13 19:00:00,8680.4,155.96,,,0.22502,,0.01581,56.79,
2020-01-14 19:00:00,8763.2,162.5,,,0.23431,,0.01692,56.87,
2020-01-15 19:00:00,8710.3,162.48,,,0.22757,,0.01671,56.78,
2020-01-16 19:00:00,8853.5,168.27,,,0.2348,,0.0174,59.87,
2020-01-17 19:00:00,8901.2,175.5,,,0.24648,,0.01773,59.35,
2020-01-18 19:00:00,8633.0,164.78,,,0.23344,,0.01644,56.65,
2020-01-19 19:00:00,8676.2,166.77,,,0.23252,,0.01669,57.99,
2020-01-20 19:00:00,8644.9,168.05,,,0.23648,,0.01709,57.16,
2020-01-21 19:00:00,8654.5,167.43,,,0.23528,,0.01717,58.07,
2020-01-22 19:00:00,8357.5,163.2,,,0.22674,,0.01648,55.26,
2020-01-23 19:00:00,8505.5,162.6,,,0.22359,,0.01654,55.2,
2020-01-24 19:00:00,8334.4,160.42,,,0.21999,,0.01612,53.12,
2020-01-25 19:00:00,8459.8,163.34,,,0.22302,,0.01643,54.29,
2020-01-26 19:00:00,8782.2,169.97,,,0.23191,,0.01717,59.07,
2020-01-27 19:00:00,9025.3,172.26,,,0.23454,,0.01834,58.87,
2020-01-28 19:00:00,9285.3,175.1,,,0.23435,,0.01863,59.61,
2020-01-29 19:00:00,9384.6,177.66,,,0.2384,,0.01876,65.9,
2020-01-30 19:00:00,9336.0,179.98,,,0.23871,,0.01859,68.11,
2020-01-31 19:00:00,9334.8,181.46,,,0.23878,,0.01859,69.53,
2020-02-01 19:00:00,9449.4,192.57,,,0.25678,,0.01965,71.95,
2020-02-02 19:00:00,9265.1,187.43,,,0.24712,,0.01891,68.69,
2020-02-03 19:00:00,9207.8,188.44,,,0.26766,,0.01897,68.24,
2020-02-04 19:00:00,9483.3,198.78,,,0.27798,,0.02026,71.94,
2020-02-05 19:00:00,9788.6,212.37,,,0.27918,,0.02273,73.68,
